title,release_year,genre,vote_average,popularity,vote_count,original_language,cluster
Cars 3,2017,"Animation, Adventure, Comedy, Family",6.8,186.621,4416,en,0
Spider-Man 3,2007,"Fantasy, Action, Adventure",6.3,186.125,11340,en,10
Last Shoot Out,2021,"Western, Action, Thriller",6.4,185.045,92,en,8
Sator,2019,Horror,5.4,184.487,66,en,5
Iron Man 2,2010,"Adventure, Action, Science Fiction",6.8,183.136,17594,en,11
Soul,2020,"Animation, Comedy, Fantasy, Family",8.2,182.718,7736,en,0
Pirates of the Caribbean: On Stranger Tides,2011,"Adventure, Action, Fantasy",6.5,182.133,11712,en,10
Phobias,2021,"Horror, Thriller",5.4,181.527,27,en,7
A Quiet Place Part II,2021,"Science Fiction, Thriller, Horror",7.6,181.389,3997,en,7
What the Peeper Saw,1972,"Horror, Drama, Thriller",5.7,181.317,19,it,7
Fast & Furious 10,2023,"Action, Crime",0.0,181.216,0,en,8
The Dark Knight Rises,2012,"Action, Crime, Drama, Thriller",7.8,179.587,19126,en,8
Trolls Holiday in Harmony,2021,"Animation, Fantasy, Family",7.6,179.019,102,en,0
Batman v Superman: Dawn of Justice,2016,"Action, Adventure, Fantasy",5.9,178.212,15596,en,10
Motherly,2021,"Thriller, Horror",7.2,176.378,95,en,7
Nobody,2021,"Action, Crime, Thriller",8.2,175.065,4292,en,8
My Hero Academia: Two Heroes,2018,"Animation, Action, Adventure, Fantasy",8.0,174.756,743,ja,10
Harry Potter and the Half-Blood Prince,2009,"Adventure, Fantasy",7.7,174.697,15861,en,10
Book of Love,2022,"Comedy, Romance",5.3,174.481,20,en,9
Jurassic Hunt,2021,"Action, Science Fiction, Thriller",5.0,174.421,180,en,2
American Underdog,2021,Drama,7.2,173.962,54,en,6
The Dark Knight,2008,"Drama, Action, Crime, Thriller",8.5,173.923,26994,en,8
Jujutsu Kaisen 0,2021,"Animation, Action, Adventure, Mystery",7.8,173.575,21,ja,10
Ava,2020,"Action, Crime, Drama, Thriller",5.7,173.205,1917,en,8
Three Steps Above Heaven,2010,"Romance, Drama",7.8,172.85,2394,es,6
Sinkhole,2021,"Comedy, Drama",7.1,172.571,36,ko,3
Undisputed III: Redemption,2010,"Action, Thriller",7.5,172.362,604,en,8
Toy Story,1995,"Animation, Adventure, Family, Comedy",8.0,171.714,15127,en,0
Roald Dahl's The Witches,2020,"Family, Fantasy, Adventure, Comedy, Horror",6.5,171.361,2092,en,0
El Paseo 6,2021,Comedy,3.5,170.869,5,es,3
Separation,2021,"Horror, Drama",5.7,170.565,127,en,5
Dragon Ball Super: Super Hero,2022,"Animation, Science Fiction, Action",0.0,170.551,0,ja,2
After Ever Happy,2022,Romance,0.0,169.964,0,en,9
Brothers,2009,"Drama, Thriller, War",7.1,169.495,2085,en,4
Shrek,2001,"Animation, Comedy, Fantasy, Adventure, Family",7.7,169.438,13610,en,0
Jackass Forever,2022,"Action, Comedy, Documentary",7.1,169.376,49,en,3
Big Hero 6,2014,"Adventure, Family, Animation, Action, Comedy",7.8,169.209,13447,en,0
Monster Pets: A Hotel Transylvania Short,2021,"Animation, Comedy, Fantasy",7.5,169.005,295,en,0
Off Course,2015,"Romance, Comedy",6.2,168.353,254,es,9
The Hobbit: The Battle of the Five Armies,2014,"Action, Adventure, Fantasy",7.3,168.034,11790,en,10
Major Grom: Plague Doctor,2021,"Action, Adventure",6.8,168.017,405,ru,10
Monster Family 2,2021,"Animation, Family",7.1,167.912,28,en,0
